,key_0,type,size,age,gender,has_name,spay_neuter,intake_condition,pit_bull,intake_location,adopt_return,adopt_return_predict_proba,latitude,longitude
0,0,DOG,MED,5.0,Male,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
1,1,DOG,MED,,Female,0,0,HEALTHY,1,SONOMA COUNTY,0,0.0069242385,,
2,2,DOG,MED,,Female,1,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,38.458384,-122.675588
3,3,DOG,SMALL,6.0,Male,1,1,UNKNOWN,0,SANTA ROSA,0,0.043706186,38.424655,-121.438065
4,4,DOG,LARGE,10.0,Female,1,1,HEALTHY,0,SANTA ROSA,0,0.05280385,38.458384,-122.675588
5,5,DOG,MED,,Unknown,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
6,6,CAT,SMALL,3.0,Female,0,1,UNKNOWN,0,SONOMA COUNTY,0,0.05992976,,
7,7,CAT,KITTEN,3.0,Male,1,1,HEALTHY,0,SANTA ROSA,0,0.07378494,38.403734,-122.736775
8,8,DOG,SMALL,15.0,Male,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
9,9,CAT,SMALL,7.0,Female,1,1,TREATABLE/MANAGEABLE,0,SANTA ROSA,0,0.0995464,,
10,10,CAT,SMALL,9.0,Male,1,1,HEALTHY,0,SANTA ROSA,0,0.08606513,,
11,11,CAT,SMALL,3.0,Female,0,1,UNKNOWN,0,SANTA ROSA,0,0.07332767,,
12,12,OTHER,MED,,Female,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,37.088258,-121.602016
13,13,DOG,SMALL,,Male,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
14,14,CAT,KITTEN,1.0,Female,0,1,UNKNOWN,0,SANTA ROSA,0,0.040651742,38.458384,-122.675588
15,15,DOG,LARGE,,Male,0,0,UNKNOWN,1,SANTA ROSA,0,0.0069242385,,
16,16,CAT,KITTEN,3.0,Female,1,1,HEALTHY,0,SANTA ROSA,0,0.06524658,38.439152,-122.672541
17,17,DOG,LARGE,4.0,Male,1,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,38.618857,-122.861927
18,18,CAT,SMALL,4.0,Male,0,1,UNKNOWN,0,SONOMA COUNTY,0,0.06945348,38.486997,-122.749134
19,19,OTHER,SMALL,3.0,Female,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
20,20,DOG,MED,3.0,Male,1,0,HEALTHY,1,SANTA ROSA,0,0.0069242385,38.403734,-122.736775
21,21,CAT,SMALL,3.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.06813072,38.458965,-122.630156
22,22,DOG,MED,7.0,Female,1,1,HEALTHY,0,SONOMA COUNTY,0,0.07328978,38.790859,-123.010876
23,23,DOG,LARGE,14.0,Male,0,1,UNKNOWN,0,SANTA ROSA,0,0.051728908,39.338556,-120.180444
24,24,DOG,TOY,5.0,Female,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.49169,-122.776056
25,25,CAT,KITTEN,2.0,Female,0,1,HEALTHY,0,SONOMA COUNTY,0,0.029282546,38.458384,-122.675588
26,26,DOG,MED,7.0,Female,1,1,UNKNOWN,0,SANTA ROSA,0,0.072866276,38.790859,-123.010876
27,27,OTHER,SMALL,4.0,Female,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
28,28,CAT,KITTEN,1.0,Female,1,1,TREATABLE/REHAB,0,SANTA ROSA,0,0.019234523,,
29,29,CAT,SMALL,14.0,Female,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.01983013,38.510032,-122.996796
30,30,OTHER,MED,,Unknown,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
31,31,OTHER,MED,,Male,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,37.088258,-121.602016
32,32,CAT,KITTEN,1.0,Male,1,1,HEALTHY,0,SONOMA COUNTY,0,0.062666826,,
33,33,OTHER,MED,,Unknown,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
34,34,DOG,MED,7.0,Male,1,1,UNKNOWN,0,SANTA ROSA,0,0.06255455,38.446019,-122.766748
35,35,DOG,MED,,Male,1,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,38.280393,-122.464588
36,36,DOG,LARGE,7.0,Female,1,1,HEALTHY,0,SONOMA COUNTY,0,0.08827265,39.338556,-120.180444
37,37,DOG,X-LRG,9.0,Male,1,1,HEALTHY,0,SONOMA COUNTY,0,0.057699848,38.446019,-122.766748
38,38,OTHER,SMALL,,Male,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.446019,-122.766748
39,39,DOG,MED,4.0,Male,1,1,HEALTHY,1,SONOMA COUNTY,0,0.07853141,38.610732,-123.200051
40,40,DOG,MED,3.0,Female,1,1,UNKNOWN,0,SANTA ROSA,0,0.18306068,38.446019,-122.766748
41,41,OTHER,MED,,Unknown,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
42,42,DOG,LARGE,10.0,Male,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
43,43,OTHER,MED,,Female,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
